name	QC-1	QC-2	QC-3	QC-4	QC-5
M260T658	698.1590909	945.4923077	608.8371818	526.24	1083.848236
M421T350	19751.89061	17731.8882	12551.83395	21914.34569	10011.44312
M200T715	3988.239231	3946.9019	7075.460667	7087.504	7543.674947
M402T653	157.9341038	115.4874573	106.2179237	97.74089637	66.6252864
M563T148	735.625	966.6613333	815.7691579	369.054	847.3195679
M232T581	1136.743421	1287.121111	1887.777673	2141.802024	1155.712
M602T350	10217.89313	14597.15126	8088.1773	11667.92123	17766.44814
M694T847	147.6124846	324.9658966	317.5427826	268.819162	379.0632965
M642T65	1681.335931	1076.850233	1027.958723	851.85885	884.4571429
M312T867	655.6596522	570.3543529	920.9987506	755.4861111	1201.956889
M306T652_1	226.6966109	233.0177557	143.655603	154.0379084	300.9139682
M197T591	4711.959	5671.335542	9488.7902	9380.852627	6516.97776
M145T666	40824.36086	41749.61148	41211.03125	16741.96244	42817.69751
M209T206	4911.764288	2140.793056	5644.1196	5214.492127	4714.741705
M978T330	7832.0819	5335.56675	4671.86	4759.901105	3546.512533
M286T665	2715.564	2462.237556	1726.832438	1386.687333	3043.40375
M859T302	237.2119945	187.0754482	283.2561965	331.7323318	150.7107137
M428T398	121.2965072	171.5452358	68.94970551	112.8337258	123.9564545
M255T814	4358.634737	2789.700667	3686.009294	4184.58864	6329.504454
M668T68	1785.852222	862.491	2028.037291	1266.319364	1775.7862
M252T278	835.7865	1716.81525	2177.769407	2012.82297	1745.451714
M613T69	2771.494986	2337.517908	1167.103737	2762.357567	3016.520737
M1040T607	485.819842	290.5153198	405.8499463	414.7410889	666.2554347
M346T707	927.3831111	2248.689297	1464.571571	1469.236611	1605.771632
M1090T312	1172.15	2195.8125	2584.602909	2935.609913	2861.926154
M352T441	680.0803125	1693.373942	1438.39575	1183.833	1156.2215
M394T669	703.38	718.6507301	1285.878994	1151.145703	719.74
M571T667	560.8301392	427.8032227	259.2946001	372.4584961	302.3213196
M453T564	396.4552961	508.3550618	505.9426618	721.3662778	844.683
M299T236	9564.715227	9934.408	5316.287778	5633.121955	10546.03149
M305T903	2257.437134	1062.67	1180.013428	1857.834709	1826.101318
M155T751	492.6133333	629.2638	701.4041667	821.01144	1100.893889
M369T52	807.9415385	1444.429848	833.163625	696.9978315	992.94
M137T312	20072.02154	21843.8162	24754.18653	22622.46578	9309.205556
M374T85	1833.05	4312.2608	3610.7667	4506.138541	4673.375673
M240T875	5944.146833	10531.8216	8870.961767	5553.355227	11228.23964
M303T591	615.0235291	310.7307322	465.3326737	292.4616903	479.2717414
M692T603	1559.524054	1379.31513	2399.957946	1431.045	1121.37585
M722T320	2023.515938	2218.591244	1277.179333	1163.815714	2389.656706
M220T770	2137.84224	2458.4252	2537.417436	4037.992122	4111.360356
M186T492	7763.977021	6152.990389	11663.1771	13577.74216	12295.32949
M386T81	1330.41	1728.704667	2645.3918	2141.0446	2978.6838
M758T327	1497.559067	2475.237	2743.410667	2610.250857	1350.351818
M1194T157	3976.531894	4466.81138	2654.338842	3048.115571	1998.948391
M791T339	3947.605941	6717.836413	3704.108897	3707.302267	3603.071375
M306T204	847.8654375	1996.709045	1440.410283	1172.754652	1628.198049
M138T710	741.1942857	1282.894409	1167.755828	1657.329286	902.0858
M859T156	15216.41681	17864.3206	6916.032053	17677.36971	17154.56383
M839T567	1100.9816	803.2316471	952.02765	1141.413595	460.8447778
M417T783	170.5898903	380.7260223	346.0446263	223.7658691	273.5443726
M412T898	928.9807771	733.5331207	506.9934211	1104.635714	1180.4013
M542T665	17240.63265	13491.50195	8893.688625	9187.559577	17139.9914
M733T602	2316.623417	2020.305265	929.016	2453.551107	2275.019906
M262T876	3244.818429	2781.726324	3922.399143	4092.704571	1681.763227
M818T313	2953.58	2573.335385	2926.87	1133.38	2452.360431
M186T202	7500.57878	7332.822099	6848.800393	10148.28737	3930.22
M426T72	786.8177554	622.2493816	498.98	649.4452206	1089.506216
M292T664_2	10221.98333	14297.96183	12140.98639	15407.43494	22298.7544
M216T564	1142.924805	643.4238462	1088.492087	1518.104788	873.4222222
M546T446	8659.855867	5807.7	6237.508895	5543.505	10902.64258
M578T84	2455.25	913.6343333	2317.001889	2170.85185	2141.236615
M262T579	12184.96533	12799.374	5978.735429	7616.947412	8769.780444
M890T329	1011.466015	1336.6652	925.7601842	549.9829412	807.3369562
M312T79	1541.943304	613.235	1084.802172	1267.91096	1002.376472
M347T758	306.1066751	358.5100852	516.0685714	550.4745483	676.2444278
M624T756_1	658.3875	702.9355774	390.7530945	326.6160278	582.3066667
M201T605	8512.312512	8943.049929	5018.5179	11754.61924	12184.87399
M389T520	383.3023158	649.9993896	676.9284545	858.043693	953.5944444
M200T269	2185.043921	817.948125	2118.147333	1934.24504	1854.702
